SKU,Description,Category,List Price (daily),Discountable,-10%,-15%,-20%,-25%
RENT-G7C,"Rental service, G7C, diffusion, daily rate",G7C Portables - Diffusion,10.00,Yes,9.00,8.50,8.00,7.50
RENT-G7C-P,"Rental service, G7C, pump, daily rate",G7C Portables - Diffusion,18.00,Yes,16.20,15.30,14.40,13.50
RENT-G7C-Z,"Rental service, G7C, standard Z cart, daily rate",G7C Lone Worker,8.00,Yes,7.20,6.80,6.40,6.00
RENT-G7C-S,"Rental service, G7C, single-gas H2S, daily rate",G7C Lone Worker,10.00,Yes,9.00,8.50,8.00,7.50
RENT-G7X,"Rental service, G7X, diffusion, daily rate",G7X Portables,10.00,Yes,9.00,8.50,8.00,7.50
RENT-G7X-P,"Rental service, G7X, pump, daily rate",G7X Portables,18.00,Yes,16.20,15.30,14.40,13.50
RENT-G7X-Z,"Rental service, G7X, standard Z cart, daily rate",G7X Portables - Lone Worker and Single Gas,8.00,Yes,7.20,6.80,6.40,6.00
RENT-G7X-S,"Rental service, G7X, single-gas, daily rate",G7X Portables - Lone Worker and Single Gas,10.00,Yes,9.00,8.50,8.00,7.50
RENT-BRIDGE,"Rental service, G7 bridge, daily rate",G7 Bridge,16.00,Yes,14.40,13.60,12.80,12.00
RENT-G7EXO,"Rental service, EXO, daily rate",EXO Area Monitor,42.00,Yes,37.80,35.70,33.60,31.50
RENT-G7EXO-PUMP,"Rental service, EXO, pump module, daily rate",EXO Area Monitor,15.00,Yes,13.50,12.75,12.00,11.25
RENT-G7EXO-SAT,"Rental service, EXO, satellite module, daily rate",EXO Area Monitor,35.00,Yes,31.50,29.75,28.00,26.25
RENT-G7EXO-TRANSLATOR,"Rental service, EXO, translator, daily",EXO Area Monitor,5.00,Yes,4.50,4.25,4.00,3.75
RENT-EX8-GEM-01,"Gas Expansion Module SO2, PID (SVXX)",EXO 8 Gas Expansion Modules,35.00,Yes,31.50,29.75,28.00,26.25
RENT-EX8-GEM-02,"Gas Expansion Module HF,NH3,SO2,PID (2ASV)",EXO 8 Gas Expansion Modules,55.00,Yes,49.50,46.75,44.00,41.25
RENT-EX8-GEM-03,"Gas Expansion Module H2,NH3,SO2,PID (6ASV)",EXO 8 Gas Expansion Modules,45.00,Yes,40.50,38.25,36.00,33.75
RENT-EX8-GEM-04,"Gas Expansion Module NH3,H2S,SO2 (AHSX)",EXO 8 Gas Expansion Modules,25.00,Yes,22.50,21.25,20.00,18.75
